,year,metro,taxi,plane,train,bus
0,1994,,69547.0,,,
1,1995,,69832.0,,,
2,1996,,70068.0,,,
3,1997,,70084.0,,,
4,1998,,70363.0,,,
5,1999,,70541.0,,,
6,2000,,7067.0,,,
7,2001,,70713.0,,,
8,2002,,70418.0,,,
9,2003,,70646.0,,,
10,2004,,70597.0,,,
11,2005,,70332.0,,,
12,2006,,70276.0,,,
13,2007,,69862.0,,,
14,2008,,69884.0,,,
15,2009,,69712.0,,,
16,2010,,69566.0,,552930296.0,
17,2011,,69681.0,,565943209.0,
18,2012,1140584.0,69889.0,,555354874.0,1647443.0
19,2013,1089448.0,69769.0,,558625362.0,1625648.0
20,2014,1099364.0,69935.0,,559332920.0,1629652.0
21,2015,1123530.0,70373.0,,561972781.0,1649390.0
22,2016,1137234.0,70561.0,,569741958.0,1706536.0
23,2017,1191361.0,71081.0,,593354431.0,1742019.0
24,2018,1246091.0,71265.0,,619055425.0,1767912.0
25,2019,1275644.0,72072.0,,627107615.0,1826366.0
26,2020,672741.0,,,329477314.0,1009750.0
27,2021,846026.0,,119952578.0,404391555.0,1235708.0
28,2022,1111254.0,,243693689.0,541593977.0,1527874.0
29,2023,1321149.0,,283201865.0,653741348.0,1870080.0
30,2024,1040135.0,,266067541.0,343143418.0,1489851.0
